agent,n_episodes,P,M,D,share_exhaustion,D_all,scenario,M_per_product,D_per_product,break_even_m,break_even_h
least_fatigued,3,1218.0,14493.333333333334,979.3333333333334,0.3468345813478557,979.3333333333334,massive_scale,11.89928845101259,0.8040503557744937,0.08403863845446181,1.2437031994554117
shortest_queue,3,1218.0,14493.333333333334,979.3333333333334,0.3468345813478557,979.3333333333334,massive_scale,11.89928845101259,0.8040503557744937,0.08403863845446181,1.2437031994554117
po_v6_last,1,116055.0,990476.0,61196.0,,61196.0,very_long,8.534539657920813,0.527301710395933,0.11717093599441077,1.8964474802274658
ft_quality,1,113069.0,971565.0,59257.0,0.4701536893945827,59257.0,very_long,8.592673500252058,0.5240782177254597,0.11637821453016525,1.9081121217746426
ft_quality_last,1,113069.0,971565.0,59257.0,,59257.0,very_long,8.592673500252058,0.5240782177254597,0.11637821453016525,1.9081121217746426
po_v6,1,112117.0,987793.0,61074.0,,61074.0,very_long,8.81037666009615,0.5447345184048806,0.11350252532666256,1.835756623112945
ft_fatigue_last,1,111681.0,968693.0,58585.0,,58585.0,very_long,8.673749339637002,0.524574457606934,0.11529039644139062,1.906307075189895
ft_protect,1,111084.0,964331.0,59512.0,,59512.0,very_long,8.681097187713803,0.5357387202477405,0.11519281242643864,1.8665815297755075
ft_fatigue,1,110827.0,967023.0,58558.0,,58558.0,very_long,8.725518149909318,0.528373049888565,0.11460637440888169,1.8926022063595067
hc_v6,1,110295.0,972669.0,60229.0,0.4833756619026277,60229.0,very_long,8.818795049639602,0.5460718980914819,0.11339417623055736,1.8312606883727107
greedy_reward,1,110211.0,978611.0,57435.0,,57435.0,very_long,8.87943127274047,0.5211367286387021,0.11261982544647464,1.9188822146774616
ft_protect_last,1,109330.0,974973.0,58796.0,,58796.0,very_long,8.917707856946858,0.537784688557578,0.11213643865009595,1.8594802367507994
hc_v6_last,1,109261.0,961912.0,59801.0,,59801.0,very_long,8.803800075049653,0.5473224663878237,0.1135873136004125,1.827076470293139
ft_gini,1,108937.0,955156.0,61210.0,,61210.0,very_long,8.76796680650284,0.5618843918962336,0.11405152666161339,1.7797255350432937
ft_gini_last,1,106842.0,939359.0,62736.0,,62736.0,very_long,8.792038711368189,0.5871848149604089,0.11373926262483247,1.7030413159908186
topsis,1,102039.0,933821.0,52313.0,,52313.0,very_long,9.151608698634835,0.5126765256421564,0.10927040621275384,1.950547665016344
empirical_topsis,1,99461.0,942183.0,53327.0,0.41266150355354697,53327.0,very_long,9.472888871014769,0.5361599018710852,0.10556441795277563,1.8651152324338516
empirical_spt,1,99433.0,928040.0,66269.0,0.5302479288958638,66269.0,very_long,9.333319923968904,0.6664688785413293,0.10714301107710875,1.5004451553516727
shortest_processing,1,98133.0,934039.0,58618.0,,58618.0,very_long,9.518092792434757,0.5973321920251088,0.10506306481849259,1.6741103415333174
batch_milp,1,96173.0,923969.0,57848.0,0.4619174388051445,57848.0,very_long,9.607363813128424,0.6014993813232404,0.10408682542379669,1.662512100677638
