scenario,corner,agent,score,rank
S5,know,grpo_mlp,12.1643,11
S5,know,dql_mlp,14.9738,13
Overall,prod,hc_v6,2.96591,1
Overall,prod,ft_quality,4.95781,2
Overall,prod,topsis,5.67597,3
Overall,prod,shortest_processing,5.73762,4
Overall,prod,reserve_specialist,15.5863,7
Overall,prod,shortest_queue,20.2589,10
Overall,prod,least_fatigued,20.2589,10
Overall,prod,round_robin,15.0067,6
Overall,prod,least_busy,24.9418,14
Overall,prod,train_weakest,31.5507,15
Overall,prod,random,17.4048,8
Overall,prod,optimal_assignment,9.87334,5
Overall,prod,a2c_mlp,21.9059,12
Overall,prod,grpo_mlp,22.0217,13
Overall,prod,dql_mlp,19.4606,9
Overall,mttr_mean,hc_v6,3.7663,4
Overall,mttr_mean,ft_quality,5.51103,6
Overall,mttr_mean,topsis,1.8327,3
Overall,mttr_mean,shortest_processing,0.679084,2
Overall,mttr_mean,reserve_specialist,5.50131,5
Overall,mttr_mean,shortest_queue,11.7382,7
Overall,mttr_mean,least_fatigued,11.7382,7
Overall,mttr_mean,round_robin,14.2664,9
Overall,mttr_mean,least_busy,15.7529,11
Overall,mttr_mean,train_weakest,25.254,15
Overall,mttr_mean,random,16.0631,12
Overall,mttr_mean,optimal_assignment,0.618364,1
Overall,mttr_mean,a2c_mlp,14.3775,10
Overall,mttr_mean,grpo_mlp,17.3061,14
Overall,mttr_mean,dql_mlp,16.6485,13
Overall,disr,hc_v6,11.1771,4
Overall,disr,ft_quality,10.073,2
Overall,disr,topsis,8.13785,1
Overall,disr,shortest_processing,10.476,3
Overall,disr,reserve_specialist,36.6723,9
Overall,disr,shortest_queue,23.6429,6
Overall,disr,least_fatigued,23.6429,6
Overall,disr,round_robin,32.0269,8
Overall,disr,least_busy,59.788,14
Overall,disr,train_weakest,79.4088,15
Overall,disr,random,42.9302,10
Overall,disr,optimal_assignment,14.7236,5
Overall,disr,a2c_mlp,52.9582,12
Overall,disr,grpo_mlp,52.852,11
Overall,disr,dql_mlp,53.1189,13
Overall,know,hc_v6,0.588228,1
Overall,know,ft_quality,1.89502,2
Overall,know,topsis,3.44722,4
Overall,know,shortest_processing,3.44435,3
Overall,know,reserve_specialist,11.7357,14
Overall,know,shortest_queue,3.96456,5
Overall,know,least_fatigued,3.96456,5
Overall,know,round_robin,6.95122,10
Overall,know,least_busy,8.35354,11
Overall,know,train_weakest,17.8353,15
Overall,know,random,6.50774,9
Overall,know,optimal_assignment,4.10619,7
Overall,know,a2c_mlp,5.88197,8
Overall,know,grpo_mlp,8.56838,12
Overall,know,dql_mlp,8.85762,13
